Time,DataX,DataY
1.250,304,52
1.297,448,193
1.359,448,193
1.390,448,193
1.437,448,192
1.469,448,192
1.500,448,192
1.531,448,192
1.562,448,192
1.609,448,192
1.640,448,193
1.812,446,195
1.906,444,193
1.937,444,193
2.000,444,194
2.031,444,195
2.062,442,193
2.156,300,52
2.187,299,50
2.250,299,48
2.281,438,185
2.500,444,183
2.531,444,183
2.625,446,181
2.703,448,181
2.765,450,181
2.797,450,181
2.828,450,181
2.875,448,179
2.922,446,179
2.953,446,179
3.078,446,179
3.125,446,179
3.172,446,179
3.203,447,179
3.265,448,180
3.344,448,181
3.547,448,182
3.578,448,183
3.625,448,182
3.765,450,185
3.859,312,50
3.937,450,188
4.000,452,189
4.031,452,187
4.062,453,187
4.156,454,187
4.281,454,187
4.531,454,189
4.562,453,187
4.594,452,187
4.640,450,187
4.672,450,187
4.703,448,187
4.734,448,187
4.765,446,187
4.797,446,187
4.828,446,187
4.875,444,187
4.922,442,187
4.953,442,187
4.984,440,187
5.015,440,187
5.047,440,187
5.078,440,187
5.109,438,187
5.109,438,187
5.172,438,187
5.203,438,187
5.234,436,187
5.265,436,187
5.297,436,187
5.328,436,187
5.359,436,187
5.406,436,187
5.453,434,187
5.484,434,187
5.515,434,187
5.547,434,187
5.578,434,187
5.609,434,187
5.656,432,187
5.687,432,187
5.719,432,187
5.750,432,187
5.781,430,187
5.812,430,187
5.844,430,187
5.875,430,187
5.922,430,187
5.953,428,187
5.984,428,187
6.015,428,187
6.047,428,187
6.078,428,186
6.109,428,186
6.156,428,186
6.187,426,186
6.219,426,187
6.250,426,187
6.281,426,187
6.312,424,186
6.344,422,185
6.375,422,185
6.422,424,186
6.453,422,186
6.484,422,186
6.515,422,187
6.547,422,186
6.578,418,185
6.609,418,185
6.609,418,185
6.687,420,186
6.719,416,185
6.750,418,187
6.781,416,185
6.812,418,186
6.844,414,185
6.875,414,185
6.906,416,186
6.937,416,186
6.969,416,186
7.000,412,185
7.031,414,186
7.062,414,186
7.094,410,185
7.125,410,185
7.172,410,185
7.203,410,185
7.234,408,185
7.265,410,186
7.297,410,186
7.328,406,185
7.359,406,185
7.390,406,185
7.390,404,185
7.453,404,185
7.484,404,185
7.515,404,185
7.547,404,185
7.578,402,185
7.609,402,185
7.640,402,185
7.640,402,185
7.703,402,185
7.734,401,185
7.765,400,185
7.797,400,185
7.828,400,185
7.859,398,185
7.890,398,185
7.937,398,185
7.969,396,185
8.000,396,185
8.031,396,185
8.062,396,185
8.094,394,185
8.125,394,185
8.156,394,185
8.156,392,185
8.219,392,185
8.250,392,185
8.281,392,185
8.312,390,185
8.344,390,185
8.375,390,185
8.406,390,184
8.453,388,185
8.484,388,184
8.515,388,184
8.547,386,184
8.578,386,184
8.609,386,184
8.640,382,183
8.672,382,183
8.703,382,183
8.734,380,183
8.765,380,183
8.797,382,184
8.828,378,183
8.859,378,183
8.890,378,183
8.890,376,183
8.922,376,183
8.984,376,183
9.015,374,183
9.047,374,183
9.078,374,183
9.109,372,183
9.140,372,183
9.172,372,183
9.172,372,183
9.234,370,183
9.265,370,183
9.297,370,183
9.328,370,183
9.359,368,183
9.390,368,183
9.422,366,183
9.422,366,183
9.484,364,183
9.515,364,182
9.547,364,183
9.578,362,182
9.609,362,183
9.640,362,183
9.672,360,182
9.672,360,182
9.734,360,183
9.765,358,182
9.797,358,183
9.828,358,182
9.859,356,182
9.890,356,183
9.922,356,182
9.953,352,181
10.000,352,181
10.031,350,181
10.062,350,181
10.094,350,181
10.125,348,181
10.156,348,181
10.187,348,181
10.187,346,181
10.250,346,181
10.281,346,181
10.312,344,181
10.344,344,181
10.375,342,181
10.406,342,181
10.406,342,181
10.437,342,181
10.437,342,181
10.500,342,181
10.531,340,181
10.562,340,181
10.594,338,180
10.625,338,181
10.656,336,181
10.687,336,181
10.687,336,180
10.750,334,180
10.781,334,180
10.812,331,179
10.844,330,179
10.875,330,179
10.906,328,179
10.937,328,179
10.937,328,179
10.984,326,179
11.031,326,179
11.062,325,179
11.094,324,179
11.125,324,179
11.156,322,179
11.187,322,179
11.234,322,179
11.281,320,179
11.312,318,179
11.344,318,179
11.375,318,179
11.406,316,179
11.437,316,179
11.437,316,179
11.469,316,179
11.515,314,179
11.562,314,179
11.594,312,179
11.625,312,179
11.656,312,179
11.687,310,179
11.719,310,179
11.765,308,178
11.812,308,178
11.859,306,178
11.890,306,178
11.922,304,177
11.953,302,177
11.984,300,177
12.031,302,178
12.062,300,177
12.094,298,177
12.125,296,177
12.156,296,177
12.187,296,177
12.219,294,177
12.265,294,177
12.297,292,176
12.328,292,177
12.359,290,177
12.390,288,176
12.422,288,176
12.453,288,176
12.484,285,175
12.531,284,175
12.562,283,175
12.594,282,175
12.625,282,175
12.656,280,175
12.687,280,175
12.719,278,175
12.765,278,175
12.797,278,175
12.828,276,175
12.859,274,174
12.890,274,175
12.922,272,173
12.953,272,174
12.984,270,173
13.031,268,173
13.062,268,173
13.094,266,173
13.125,264,173
13.156,264,173
13.187,264,173
13.219,262,173
13.250,262,173
13.281,260,172
13.312,260,173
13.359,258,172
13.390,256,172
13.422,256,173
13.453,254,172
13.484,252,171
13.531,252,171
13.562,250,171
13.594,248,171
13.625,248,171
13.656,246,171
13.687,246,171
13.719,244,171
13.750,244,171
13.797,242,171
13.844,242,171
13.875,240,171
13.906,238,171
13.937,238,170
13.969,236,169
14.000,236,169
14.047,234,169
14.094,232,169
14.125,232,169
14.156,230,169
14.187,228,169
14.219,228,169
14.250,226,169
14.297,226,169
14.344,224,169
14.390,222,167
14.422,220,167
