Time,DataX,DataY
0.281,373,310
0.359,373,310
0.422,373,310
0.468,373,310
0.500,371,311
0.531,371,311
0.578,371,311
0.625,371,311
0.672,371,311
0.718,371,311
0.750,371,311
0.797,371,311
0.843,371,311
0.890,371,311
0.922,371,311
0.968,371,311
1.000,371,311
1.047,371,311
1.093,371,311
1.140,371,311
1.187,371,311
1.218,371,311
1.250,371,311
1.297,371,311
1.343,371,311
1.390,371,311
1.437,371,311
1.484,371,311
1.547,371,311
1.593,371,311
1.640,371,311
1.687,371,311
1.718,371,311
1.765,371,311
1.812,371,311
1.859,371,311
1.906,371,311
1.953,371,311
2.000,371,311
2.047,371,311
2.093,371,311
2.140,371,311
2.187,374,339
2.281,372,310
2.328,373,325
2.375,373,325
2.422,376,345
2.468,376,304
2.515,375,334
2.562,375,334
2.609,375,322
2.656,375,322
2.703,378,325
2.750,376,326
2.812,376,340
2.859,376,340
2.906,376,328
2.953,376,321
3.015,453,322
3.062,371,321
3.109,437,320
3.156,380,358
3.203,372,308
3.265,376,327
3.312,376,327
3.359,376,327
3.406,376,328
3.453,376,328
3.500,376,328
3.562,376,328
3.609,376,328
3.656,376,328
3.703,376,328
3.750,376,328
3.797,376,328
3.843,376,328
3.890,376,328
3.937,376,328
3.984,376,328
4.047,376,328
4.093,377,341
4.140,377,341
4.187,377,341
4.234,377,341
4.297,376,350
4.359,376,356
4.406,376,356
4.453,375,340
4.515,375,340
4.578,375,340
4.625,375,340
4.672,375,340
4.718,375,340
4.781,375,340
4.828,375,340
4.875,375,340
4.922,375,340
4.968,376,338
5.031,376,329
5.078,372,318
5.125,372,318
5.172,376,340
5.218,376,340
5.281,376,340
5.328,376,340
5.375,376,340
5.422,376,340
5.468,376,340
5.515,376,340
5.578,376,340
